wavelength,Cycle_1_0,Cycle_2_0,Cycle_3_0,Cycle_4_0,Cycle_5_0,Cycle_6_0,,Peak Spectroscopy,,,
324.191,18706.2755,15328.9805,10847.2929,8262.1199,2142.7902,5784.9027,,,,,
324.192,21519.2643,14933.567,9934.6434,8131.0077,2087.0823,6812.2844,,,,,
324.193,20678.2891,16099.6681,9706.0217,8417.347,2000.7918,7249.9898,,,,,
324.194,18217.7206,15463.2722,8570.2603,9885.1811,1980.7523,6853.2911,,,,,
324.195,19930.5252,15061.087,8951.1997,8947.2948,2157.722,8020.3053,,,,,
324.196,18301.8858,14912.3189,7978.8888,8786.3236,2082.3302,7794.5503,,,,,
324.197,18183.9303,14701.2601,8168.8342,8478.8542,1844.8079,8986.4405,,,,,
324.198,18793.2622,14288.1304,8107.2906,9319.0169,1596.6602,9102.9822,,,,,
324.199,17289.5951,14298.8274,7709.5259,9784.9635,1984.841,10258.6303,,,,,
324.2001,17130.2299,14128.4039,8197.2521,10167.6827,1969.2473,10721.6408,,,,,
324.2011,18632.0113,13602.15,6182.358,9326.0313,1703.3538,10548.2916,,,,,
324.2021,16163.5434,14002.2896,6578.2319,10716.7321,1751.1314,11424.4805,,,,,
324.2031,16200.5158,13299.1578,6708.8557,10378.4421,1857.5965,12972.5389,,,,,
324.2041,16514.9912,12536.3822,6614.5983,10400.7908,1734.2427,11879.4253,,,,,
324.2051,15317.6695,11394.0368,6595.462,12034.8483,1626.4149,12250.2872,,,,,
324.2061,14145.2776,11657.7807,5140.4665,13671.0406,1846.3589,13036.061,,,,,
324.2071,14118.7338,12018.7839,5396.5663,11618.4589,2018.1031,14449.3558,,,,,
324.2081,12871.3203,12432.4833,5264.4403,11490.0915,1850.5995,14535.3864,,,,,
324.2091,13504.3015,10831.6892,5469.4508,12625.6631,1950.4529,15029.4473,,,,,
324.2101,13042.2238,12322.7157,5162.5309,12300.8306,1897.3671,15568.6486,,,,,
324.2111,11725.3309,9823.0483,4690.6299,11632.7853,2299.0983,15772.6186,,,,,
324.2121,12899.5479,10612.3241,4669.2977,13102.6504,2206.0109,16860.6064,,,,,
324.2131,11492.7996,9546.4752,4293.7799,11568.4799,1982.0319,17173.4664,,,,,
324.2141,10918.2938,9698.4353,4126.104,13095.8827,2169.8963,16044.9147,,,,,
324.2151,11159.5838,8949.0274,4485.6657,11637.4576,2083.59,15927.7552,,,,,
324.2161,10258.4059,8921.0293,4421.0274,12025.5646,2511.1998,16675.3932,,,,,
324.2171,11411.8721,8510.6806,4183.7068,13736.5556,2466.6532,17261.4185,,,,,
324.2181,9981.4734,8013.6362,3480.7695,12136.5769,2600.9164,17209.7046,,,,,
324.2191,9712.2288,8418.6537,4178.1673,13105.1298,2713.6185,17503.453,,,,,
324.2201,10397.5272,7895.797,4251.5751,11722.0973,2474.9936,15887.1865,,,,,
324.2211,9391.7054,7050.6287,4348.5331,12217.324,2868.3289,17071.9428,,,,,
324.2221,9625.4319,6965.9034,4398.9669,11221.2954,2950.6137,17912.6561,,,,,
324.2231,11012.3909,6689.4271,4242.2533,12320.2854,2934.1067,16870.0782,,,,,
324.2241,10270.6304,5318.1423,3652.7309,11607.1609,3209.8571,16093.2096,,,,,
324.2251,10650.0346,6054.4383,3910.19,11512.6331,3652.3328,15230.3103,,,,,
324.2261,10490.1035,6215.3346,3684.5177,11804.8477,3438.7621,16099.3702,,,,,
324.2271,9227.6342,5435.2984,4013.6386,11867.2188,3303.7557,13771.1295,,,,,
324.2281,10402.2248,5967.0296,3352.8138,11720.0162,3865.8971,14845.1806,,,,,
324.2291,10404.1932,4398.4799,4049.5274,10928.1341,3652.9562,13711.4045,,,,,
324.2301,11049.5151,4544.1246,3635.1326,11281.108,3932.3034,13669.7701,,,,,
324.2311,10146.299,4081.566,3701.3406,11022.5496,4697.3378,12869.608,,,,,
324.2321,11555.0586,4355.1073,3786.6817,11129.6639,4254.8687,14582.845,,,,,
324.2331,11645.7713,3905.5869,4051.2372,10136.4563,4270.4785,12651.3771,,,,,
324.2341,11423.7896,4357.2617,3778.5851,10452.3987,4574.1514,12502.5725,,,,,
324.2351,11327.9767,3956.7398,4063.265,10124.9621,5056.4065,11162.22,,,,,
324.2361,12619.8959,3056.5295,3774.0102,9331.2007,4963.7039,11240.1405,,,,,
324.2371,11662.2885,3771.521,3702.9487,9596.3211,4905.9961,10236.3663,,,,,
324.2381,11749.5623,3145.4771,3821.9027,8906.5517,5086.8177,11016.4629,,,,,
324.2391,12477.9684,2842.6714,3953.6003,9034.0456,5897.8712,8906.0584,,,,,
324.2401,13739.9683,3009.4354,3662.7639,8574.5896,5500.892,9337.3962,,,,,
324.2411,12510.9236,3105.4199,3481.1018,8787.2704,5731.3747,9397.9087,,,,,
324.2421,14063.8505,2702.5046,3669.5374,8396.3147,6491.6322,8813.5145,,,,,
324.2431,12563.8699,2839.3145,3622.6044,6973.7294,5429.1188,8219.4162,,,,,
324.2441,13186.781,2692.1929,3263.4917,7293.7692,5434.4353,7389.1221,,,,,
324.2451,13477.8888,2697.4523,3604.397,7413.103,5926.5018,7703.9758,,,,,
324.2461,12313.9666,2525.0358,3209.4949,6923.6691,5701.2344,7109.7681,,,,,
324.2471,14358.0256,2502.6055,3557.3455,7214.9363,5819.0019,7101.6387,,,,,
324.2481,13350.5735,2341.6445,3682.0645,6449.1478,6644.6725,6163.3625,,,,,
324.2491,13041.5349,2131.8348,3272.8095,6681.858,5897.9754,6575.699,,,,,
